url,type,inlink_instances,unique_source_pages
https://palworld-chi.vercel.app/en,home,2786,2785
https://palworld-chi.vercel.app/en/guide/base,guide,2788,2785
https://palworld-chi.vercel.app/en/guide/beginner,guide,2799,2785
https://palworld-chi.vercel.app/en/guide/breeding,guide,2800,2785
https://palworld-chi.vercel.app/en/guide/download,guide,11,9
https://palworld-chi.vercel.app/en/guide/endgame,guide,2788,2785
https://palworld-chi.vercel.app/en/guide/faq,guide,2797,2785
https://palworld-chi.vercel.app/en/guide/fishing,guide,3,3
https://palworld-chi.vercel.app/en/guide/map,guide,5,5
https://palworld-chi.vercel.app/en/guide/materials,guide,16,11
https://palworld-chi.vercel.app/en/guide/mobile,guide,2791,2785
https://palworld-chi.vercel.app/en/guide/mods,guide,2,2
https://palworld-chi.vercel.app/en/guide/money,guide,2789,2785
https://palworld-chi.vercel.app/en/guide/new-pals,guide,7,6
https://palworld-chi.vercel.app/en/guide/pals,guide,16,13
https://palworld-chi.vercel.app/en/guide/passives,guide,5580,2785
https://palworld-chi.vercel.app/en/guide/ps5,guide,2791,2785
https://palworld-chi.vercel.app/en/guide/server,guide,7,6
https://palworld-chi.vercel.app/en/guide/tcg,guide,2789,2785
https://palworld-chi.vercel.app/en/guide/terraria,guide,10,7
https://palworld-chi.vercel.app/en/guide/updates,guide,6,6
https://palworld-chi.vercel.app/en/guide/wiki,guide,2,2
https://palworld-chi.vercel.app/en/guide/world-tree,guide,2789,2785
https://palworld-chi.vercel.app/en/pal/aegidron,pal,2,2
https://palworld-chi.vercel.app/en/pal/aegidron/breeding,pal-breeding,3,2
https://palworld-chi.vercel.app/en/pal/aegidron/location,pal-location,3,2
https://palworld-chi.vercel.app/en/pal/amione,pal,2,2
https://palworld-chi.vercel.app/en/pal/amione/breeding,pal-breeding,3,2
https://palworld-chi.vercel.app/en/pal/amione/location,pal-location,3,2
https://palworld-chi.vercel.app/en/pal/anubis,pal,3,3
https://palworld-chi.vercel.app/en/pal/anubis/breeding,pal-breeding,3,2
https://palworld-chi.vercel.app/en/pal/anubis/location,pal-location,3,2
https://palworld-chi.vercel.app/en/pal/arsox,pal,2,2
https://palworld-chi.vercel.app/en/pal/arsox/breeding,pal-breeding,3,2
https://palworld-chi.vercel.app/en/pal/arsox/location,pal-location,3,2
https://palworld-chi.vercel.app/en/pal/astegon,pal,2,2
https://palworld-chi.vercel.app/en/pal/astegon/breeding,pal-breeding,3,2
https://palworld-chi.vercel.app/en/pal/astegon/location,pal-location,3,2
https://palworld-chi.vercel.app/en/pal/astralym,pal,2,2
https://palworld-chi.vercel.app/en/pal/astralym/breeding,pal-breeding,3,2
