url,type,gsc_clicks,gsc_impressions,gsc_ctr,gsc_avg_position,query_rows_visible,indexable,in_sitemap,inlinks,inlink_source_pages
https://palworld-chi.vercel.app/en/guide/base,guide,0,6,0,29.8,1,yes,yes,2788,2785
https://palworld-chi.vercel.app/en/guide/beginner,guide,1,25,0.04,38.2,8,yes,yes,2799,2785
https://palworld-chi.vercel.app/en/guide/breeding,guide,0,48,0,81.7,22,yes,yes,2800,2785
https://palworld-chi.vercel.app/en/guide/endgame,guide,0,24,0,12.2,3,yes,yes,2788,2785
https://palworld-chi.vercel.app/en/guide/faq,guide,0,11,0,56.3,2,yes,yes,2797,2785
https://palworld-chi.vercel.app/en/guide/materials,guide,0,31,0,72.3,13,yes,yes,16,11
https://palworld-chi.vercel.app/en/guide/mobile,guide,0,2,0,60,2,yes,yes,2791,2785
https://palworld-chi.vercel.app/en/guide/money,guide,0,18,0,36,7,yes,yes,2789,2785
https://palworld-chi.vercel.app/en/guide/new-pals,guide,0,3,0,86,1,yes,yes,7,6
https://palworld-chi.vercel.app/en/guide/passives,guide,0,145,0,69.1,63,yes,yes,5580,2785
https://palworld-chi.vercel.app/en/guide/tcg,guide,0,3,0,79.3,2,yes,yes,2789,2785
https://palworld-chi.vercel.app/en/guide/wiki,guide,0,39,0,73.6,20,yes,yes,2,2
https://palworld-chi.vercel.app/en/guide/world-tree,guide,0,89,0,8.5,11,yes,yes,2789,2785
https://palworld-chi.vercel.app/en/pal/astegon/location,pal-location,0,6,0,8.3,3,yes,yes,3,2
https://palworld-chi.vercel.app/en/pal/blazamut/location,pal-location,0,5,0,9.4,1,yes,yes,3,2
https://palworld-chi.vercel.app/en/pal/bushi-noct/location,pal-location,0,2,0,33.5,1,yes,yes,3,2
https://palworld-chi.vercel.app/en/pal/dualith-noct,pal,0,1,0,9,0,yes,yes,2,2
https://palworld-chi.vercel.app/en/pal/eikthyrdeer/location,pal-location,0,1,0,6,0,yes,yes,3,2
https://palworld-chi.vercel.app/en/pal/foxcicle/location,pal-location,0,2,0,7,0,yes,yes,3,2
https://palworld-chi.vercel.app/en/pal/gildra,pal,0,1,0,8,0,yes,yes,2,2
https://palworld-chi.vercel.app/en/pal/jormuntide/location,pal-location,0,2,0,11,1,yes,yes,3,2
https://palworld-chi.vercel.app/en/pal/mossanda/location,pal-location,0,8,0,19,4,yes,yes,3,2
https://palworld-chi.vercel.app/en/pal/neptilius/location,pal-location,0,3,0,8.3,1,yes,yes,3,2
https://palworld-chi.vercel.app/en/pal/paladius/location,pal-location,0,2,0,12,1,yes,yes,3,2
https://palworld-chi.vercel.app/en/pal/starryon,pal,0,1,0,5,0,yes,yes,2,2
https://palworld-chi.vercel.app/en/pal/starryon-primo/location,pal-location,0,1,0,7,0,yes,yes,3,2
https://palworld-chi.vercel.app/en/pal/xenogard/location,pal-location,0,1,0,11,0,yes,yes,3,2
