url,type,indexable,canonical,hreflang_count,in_sitemap,inlinks,inlink_source_pages
https://palworld-chi.vercel.app/en,home,yes,https://palworld-chi.vercel.app/en,7,yes,2786,2785
https://palworld-chi.vercel.app/en/guide/base,guide,yes,https://palworld-chi.vercel.app/en/guide/base,7,yes,2788,2785
https://palworld-chi.vercel.app/en/guide/beginner,guide,yes,https://palworld-chi.vercel.app/en/guide/beginner,7,yes,2799,2785
https://palworld-chi.vercel.app/en/guide/breeding,guide,yes,https://palworld-chi.vercel.app/en/guide/breeding,7,yes,2800,2785
https://palworld-chi.vercel.app/en/guide/download,guide,yes,https://palworld-chi.vercel.app/en/guide/download,7,yes,11,9
https://palworld-chi.vercel.app/en/guide/endgame,guide,yes,https://palworld-chi.vercel.app/en/guide/endgame,7,yes,2788,2785
https://palworld-chi.vercel.app/en/guide/faq,guide,yes,https://palworld-chi.vercel.app/en/guide/faq,7,yes,2797,2785
https://palworld-chi.vercel.app/en/guide/fishing,guide,yes,https://palworld-chi.vercel.app/en/guide/fishing,7,yes,3,3
https://palworld-chi.vercel.app/en/guide/map,guide,yes,https://palworld-chi.vercel.app/en/guide/map,7,yes,5,5
https://palworld-chi.vercel.app/en/guide/materials,guide,yes,https://palworld-chi.vercel.app/en/guide/materials,7,yes,16,11
https://palworld-chi.vercel.app/en/guide/mobile,guide,yes,https://palworld-chi.vercel.app/en/guide/mobile,7,yes,2791,2785
https://palworld-chi.vercel.app/en/guide/mods,guide,yes,https://palworld-chi.vercel.app/en/guide/mods,7,yes,2,2
https://palworld-chi.vercel.app/en/guide/money,guide,yes,https://palworld-chi.vercel.app/en/guide/money,7,yes,2789,2785
https://palworld-chi.vercel.app/en/guide/new-pals,guide,yes,https://palworld-chi.vercel.app/en/guide/new-pals,7,yes,7,6
https://palworld-chi.vercel.app/en/guide/pals,guide,yes,https://palworld-chi.vercel.app/en/guide/pals,7,yes,16,13
https://palworld-chi.vercel.app/en/guide/passives,guide,yes,https://palworld-chi.vercel.app/en/guide/passives,7,yes,5580,2785
https://palworld-chi.vercel.app/en/guide/ps5,guide,yes,https://palworld-chi.vercel.app/en/guide/ps5,7,yes,2791,2785
